공원명,공원구분,소재지지번주소,위도,경도,공원면적,관리기관명,제공기관코드,제공기관명
장승포 조각공원,문화공원,경상남도 거제시 능포동 120-14,34.881619,128.739539,13105,경상남도 거제시청,5370000,경상남도 거제시
능포 해양공원,수변공원,경상남도 거제시 능포동 산1,34.89101575,128.7484093,47221,경상남도 거제시청,5370000,경상남도 거제시
스포츠 테마파크,체육공원,경상남도 거제시 거제면 서정리 790-1,34.8518556,128.5815338,98508,경상남도 거제시청,5370000,경상남도 거제시
둔덕 체육공원,체육공원,경상남도 거제시 둔덕면 하둔리 661-1,34.83195292,128.502045,26197,경상남도 거제시청,5370000,경상남도 거제시
우면산,기타,서울특별시 서초구 방배동 산 92-1,37.47125229,127.002457,3721692.4,서울특별시 서초구청,3210000,서울특별시 서초구
청계산,기타,서울특별시 서초구 원지동 산 4-13,37.43684735,127.044725,3609700.6,서울특별시 서초구청,3210000,서울특별시 서초구
인능산,기타,서울특별시 서초구 신원동 산 39-1,37.44208456,127.0678787,2108968.6,서울특별시 서초구청,3210000,서울특별시 서초구
대모산,기타,서울특별시 서초구 개포동 산 53-22,37.47002064,127.0599531,2201257.7,서울특별시 서초구청,3210000,서울특별시 서초구
서리풀,기타,서울특별시 서초구 방배동 산24-3,37.48275695,126.9987794,204269.7,서울특별시 서초구청,3210000,서울특별시 서초구
방배,기타,서울특별시 서초구 방배동 686-201,37.47422509,126.9952977,210517.2,서울특별시 서초구청,3210000,서울특별시 서초구
기쁨뜰 근린공원(근1-9),근린공원,,36.52125133,127.2626914,161980,세종특별자치시 공원관리사업소,5690000,세종특별자치시
용당공원,소공원,충청남도 서천군 장항읍 원수리 927-2,36.006113,126.704992,4536,충청남도 서천군청,4580000,충청남도 서천군
(산단)1호,어린이공원,충청남도 서천군 장항읍 옥남리 520,36.040527,126.668551,1884,충청남도 서천군청,4580000,충청남도 서천군
(산단)2호,어린이공원,충청남도 서천군 장항읍 옥남리 산3,36.035863,126.671152,1657,충청남도 서천군청,4580000,충청남도 서천군
