순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
374,전라남도,광양시,태금역,전남 광양시,기타관광,교통시설,3988
375,전라남도,여수시,여수세계박람회장스카이타워,전남 여수시 엑스포대로 0-0,문화관광,랜드마크관광,3980
376,전라남도,영암군,영암곤충박물관,전남 영암군 기찬랜드로 41-0,문화관광,전시시설,3955
377,전라남도,완도군,완도금일수협수산시장,전남 완도군 해변공원로124번길 26-0,쇼핑,시장,3953
378,전라남도,곡성군,도림사,전남 곡성군 도림로 175-0,역사관광,종교성지,3939
379,전라남도,여수시,이순신공원,전남 여수시 신월로 168-0,문화관광,도시공원,3929
380,전라남도,순천시,청춘창고,전남 순천시 역전길 34-0,문화관광,기타문화관광지,3924
381,전라남도,해남군,해남매일시장,전남 해남군 읍내길 20-6,쇼핑,시장,3885
382,전라남도,해남군,갈두항,전남 해남군 땅끝마을길 0-0,자연관광,자연경관(하천/해양),3864
383,전라남도,신안군,천사대교관광안내소,전남 신안군,기타관광,기타관광,3825
384,전라남도,광양시,광양항컨테이너부두,전남 광양시,자연관광,자연경관(하천/해양),3788
385,전라남도,담양군,죽향CC,전남 담양군 창평로 159-0,레저스포츠,육상레저스포츠,3778
386,전라남도,구례군,구례시장,전남 구례군 5일시장길 9-0,쇼핑,시장,3775
387,전라남도,여수시,이순신대교홍보관,전남 여수시,문화관광,기타문화관광지,3772
388,전라남도,함평군,문장터미널,전남 함평군 해삼로 364-4,기타관광,교통시설,3770
389,전라남도,강진군,가우도,전남 강진군,자연관광,자연경관(하천/해양),3749
390,전라남도,영광군,영광터미널시장,전남 영광군 신남로 192-0,쇼핑,시장,3744
391,전라남도,나주시,금성관,전남 나주시 금성관길 8-0,역사관광,역사유적지,3679
392,전라남도,여수시,백야도,전남 여수시,자연관광,자연경관(하천/해양),3663
393,전라남도,광양시,백운쇼핑센터,전남 광양시 폭포사랑길 99-0,쇼핑,쇼핑몰,3662
394,전라남도,영광군,홍농버스터미널,전남 영광군 상하길 28-0,기타관광,교통시설,3659
395,전라남도,해남군,명량해상케이블카진도대교광장하부승강장,전남 해남군 관광레저로 12-20,기타관광,기타관광,3645
396,전라남도,여수시,방죽포해변,전남 여수시,자연관광,자연경관(하천/해양),3636
397,전라남도,목포시,서해지방해양경찰청숙영관,전남 목포시 고하대로597번길 99-33,레저스포츠,육상레저스포츠,3605
398,전라남도,광양시,옥곡시장,전남 광양시 큰골1길 2-26,쇼핑,시장,3587
399,전라남도,해남군,흑석산자연휴양림,전남 해남군 산골길 306-0,자연관광,자연공원,3577
400,전라남도,신안군,비금가산선착장,전남 신안군 서남문로 0-0,기타관광,교통시설,3564
401,전라남도,여수시,돌산항,전남 여수시 남외길 23-7,자연관광,자연경관(하천/해양),3533
402,전라남도,구례군,연곡사,전남 구례군 피아골로 774-0,역사관광,종교성지,3532
403,전라남도,목포시,중앙시장,전남 목포시 원산중앙로 51-0,쇼핑,시장,3525
404,전라남도,무안군,몽탄역,전남 무안군 몽탄로 869-0,기타관광,교통시설,3524
405,전라남도,화순군,수만리생태숲공원,전남 화순군 안양산로 294-0,문화관광,도시공원,3491
406,전라남도,화순군,동가리숲속유원지,전남 화순군 동산1길 78-0,문화관광,복합관광시설,3466
407,전라남도,완도군,완도항,전남 완도군,자연관광,자연경관(하천/해양),3452
408,전라남도,장흥군,보림사,전남 장흥군 보림사로 224-0,역사관광,종교성지,3429
409,전라남도,순천시,순천도축장,전남 순천시 홍내교길 106-0,쇼핑,시장,3411
410,전라남도,영광군,계마항,전남 영광군 계마길 61-0,자연관광,자연경관(하천/해양),3407
411,전라남도,무안군,신월선착장,전남 무안군 신월로 558-26,기타관광,교통시설,3405
412,전라남도,순천시,낙안민속자연휴양림,전남 순천시 민속마을길 1600-0,자연관광,자연공원,3379
413,전라남도,여수시,큰끝등대,전남 여수시,문화관광,랜드마크관광,3376
414,전라남도,목포시,유달유원지,전남 목포시 해양대학로 59-0,문화관광,복합관광시설,3351
415,전라남도,여수시,여수장도근린공원,전남 여수시,문화관광,도시공원,3347
416,전라남도,목포시,구청호시장,전남 목포시 자유로 13-2,쇼핑,시장,3339
417,전라남도,광양시,광양CC,전남 광양시 가야로 223-0,레저스포츠,육상레저스포츠,3312
418,전라남도,강진군,강진시장,전남 강진군 시장길 19-0,쇼핑,시장,3281
419,전라남도,목포시,목포원예농협농산물공판장,전남 목포시 영산로 575-0,쇼핑,시장,3276
