영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 죽교동 516-101번지 ,"전라남도 목포시 해양대학로 240, 북항STATION 1층 (죽교동)",58719,패스트푸드,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 영해동2가 1-22번지 ,"전라남도 목포시 번화로 60, 1층 (영해동2가)",58753,떡카페,143687.4706,143343.5778
영업/정상,영업,전라남도 목포시 상동 135-4 ,"전라남도 목포시 영산로 495, 1,2층 (상동)",58643,커피숍,146574.5874,145858.4003
영업/정상,영업,전라남도 목포시 산정동 1109-2번지 ,"전라남도 목포시 산정로22번길 2, 1층 (산정동)",58742,편의점,144397.9438,143698.4459
영업/정상,영업,전라남도 목포시 용해동 238-6번지 ,"전라남도 목포시 송림로 76, 2층 (용해동)",58701,커피숍,145521.9673,145375.1927
영업/정상,영업,전라남도 목포시 산정동 1765-9 송학그린빌라 ,"전라남도 목포시 죽산로19번길 27, 1층 101호 (산정동, 송학그린빌라)",58639,기타 휴게음식점,142736.6196,145546.221
영업/정상,영업,전라남도 목포시 유달동 8번지 ,"전라남도 목포시 영산로10번길 10, 근대역사관일원 (유달동)",58755,푸드트럭,143055.0781,143186.846
영업/정상,영업,전라남도 목포시 달동 산 188-7번지 ,"전라남도 목포시 고하도안길 234, 1층 (달동)",,커피숍,141263.4468,142333.4217
영업/정상,영업,전라남도 목포시 용해동 1037-1번지 ,"전라남도 목포시 미항로 48, 평화광장 달맞이공원 (용해동)",58749,푸드트럭,147444.512,144141.7407
영업/정상,영업,전라남도 목포시 용해동 1037-1 ,"전라남도 목포시 미항로 48, 평화광장 달맞이공원 (용해동)",58749,푸드트럭,147444.512,144141.7407
영업/정상,영업,전라남도 목포시 용해동 978-3번지 빠리바게뜨 ,"전라남도 목포시 용해지구로 2, 3층 (용해동)",58610,키즈카페,144945.7869,146699.7564
영업/정상,영업,전라남도 목포시 죽교동 516-101 ,"전라남도 목포시 해양대학로 240, 북항STATION 2층 (죽교동)",58719,기타 휴게음식점,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 죽교동 516-101 ,"전라남도 목포시 해양대학로 240, 북항STATION 1층 (죽교동)",58719,기타 휴게음식점,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 죽교동 516-101번지 ,"전라남도 목포시 해양대학로 240, 북항STATION 1층 (죽교동)",58719,커피숍,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 죽교동 516-101 ,"전라남도 목포시 해양대학로 240, 북항STATION 1층 (죽교동)",58719,기타 휴게음식점,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 산정동 1713-1번지 ,"전라남도 목포시 연산로 155, 1층 (산정동)",58636,커피숍,143202.4973,145939.2978
영업/정상,영업,전라남도 목포시 죽교동 516-101번지 ,"전라남도 목포시 해양대학로 240, 유달산STATION 1층 (죽교동)",58719,커피숍,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 달동 산 191-3 ,"전라남도 목포시 고하도안길 186, 고하도STATION 3층 (달동)",58762,패스트푸드,141440.2947,141946.5841
영업/정상,영업,전라남도 목포시 산정동 23-59 ,"전라남도 목포시 산정언덕로 11, 지하1층 (산정동)",58653,커피숍,144009.6694,145083.6922
영업/정상,영업,전라남도 목포시 축복동2가 4-3 ,"전라남도 목포시 수강로12번길 32-1, 2층 (축복동2가)",58752,다방,143903.0612,143432.6682
영업/정상,영업,전라남도 목포시 옥암동 951-9번지 ,"전라남도 목포시 녹색로134번길 41, 1층 (옥암동)",58663,커피숍,147757.0686,146027.421
영업/정상,영업,전라남도 목포시 무안동 10-26번지 ,"전라남도 목포시 영산로 59-1, 1층 (무안동)",58729,커피숍,143579.7617,143441.6866
영업/정상,영업,전라남도 목포시 죽교동 620-42번지 ,전라남도 목포시 북항로 177 (죽교동),58625,커피숍,141940.9147,145223.8516
영업/정상,영업,전라남도 목포시 산정동 326-10 근화그린맨션 ,"전라남도 목포시 산정로 268-3, 상가1동 1층 115호 (산정동, 근화그린맨션)",58613,편의점,143835.5021,146054.1006
영업/정상,영업,전라남도 목포시 상동 989-2 ,"전라남도 목포시 장미로 30, 1층 (상동)",58691,일반조리판매,147297.2416,144947.6742
영업/정상,영업,전라남도 목포시 죽동 26-18 ,"전라남도 목포시 영산로75번길 13-1, 1층 (죽동)",58728,아이스크림,143574.9979,143702.228
영업/정상,영업,전라남도 목포시 상동 987 ,"전라남도 목포시 비파로43번길 31-1, 1층 101호 (상동)",58691,커피숍,147215.3701,144853.5804
영업/정상,영업,전라남도 목포시 동명동 419 ,"전라남도 목포시 삼학로 89, 1층 (동명동)",58742,커피숍,144475.4536,143368.0488
영업/정상,영업,전라남도 목포시 산정동 1758-2 ,"전라남도 목포시 청호로 180, 1층 (산정동)",58638,커피숍,142567.6421,145527.0975
영업/정상,영업,전라남도 목포시 산정동 1757-1 ,"전라남도 목포시 청호로 188, 1층 (산정동)",58638,패스트푸드,142509.074,145594.4
영업/정상,영업,전라남도 목포시 옥암동 1097번지 우미오션빌아파트 ,"전라남도 목포시 평화로107번길 16-1, 우미오션빌 상가동 1층 101호 (옥암동)",58746,편의점,148360.3021,144651.5422
영업/정상,영업,전라남도 목포시 산정동 1758-2 ,"전라남도 목포시 청호로 180, 2층 (산정동)",58638,기타 휴게음식점,142567.6421,145527.0975
영업/정상,영업,전라남도 목포시 산정동 1801-13번지 ,"전라남도 목포시 고하대로 628, 1층 (산정동)",58715,커피숍,142118.3256,145273.1177
영업/정상,영업,전라남도 목포시 무안동 3-1번지 ,"전라남도 목포시 영산로75번길 3-2, 1층 (무안동)",58728,커피숍,143606.3086,143620.0345
영업/정상,영업,전라남도 목포시 상동 1139-21번지 ,"전라남도 목포시 평화로83번길 5, 1층 (상동)",58747,패스트푸드,148064.1287,144485.0493
영업/정상,영업,전라남도 목포시 용해동 156-1 ,"전라남도 목포시 삼학로334번길 10, 1층 (용해동)",58668,커피숍,145935.6352,144760.583
영업/정상,영업,전라남도 목포시 남교동 121-7번지 ,전라남도 목포시 수문로 40-2 (남교동),58724,커피숍,143370.8189,144000.9249
영업/정상,영업,전라남도 목포시 용해동 126 신안인스빌아파트 ,"전라남도 목포시 삼학로 363, 상가동 1층 104호 (용해동, 신안인스빌아파트)",58702,편의점,145722.1897,145095.3848
영업/정상,영업,전라남도 목포시 용당동 1153-25번지 ,"전라남도 목포시 백년대로73번길 3, 2동 2층 (용당동)",58709,기타 휴게음식점,144766.3998,144689.6353
영업/정상,영업,전라남도 목포시 산정동 1758-2번지 ,"전라남도 목포시 청호로 180, 1층 (산정동)",58638,커피숍,142567.6421,145527.0975
영업/정상,영업,전라남도 목포시 옥암동 1041-10번지 ,"전라남도 목포시 복산길 16-1, 1층 (옥암동)",58686,커피숍,148356.6197,145191.4874
영업/정상,영업,전라남도 목포시 옥암동 1031-11번지 ,"전라남도 목포시 옥암로 30, 1층 (옥암동)",58687,커피숍,147796.2629,145042.605
영업/정상,영업,전라남도 목포시 상동 779번지 1층 2동 101호,"전라남도 목포시 비파로 162, 2동 1층 101호 (상동)",58659,일반조리판매,146792.3408,145977.2589
영업/정상,영업,전라남도 목포시 상동 868-2번지 ,"전라남도 목포시 옥암로 83, 1층 (상동)",58689,커피숍,147494.9646,145460.5213
영업/정상,영업,전라남도 목포시 연산동 1954-3 ,"전라남도 목포시 연산백련로 27, 1층 101호 (연산동)",58763,기타 휴게음식점,144166.96,146719.085
영업/정상,영업,전라남도 목포시 연산동 1260-6 ,"전라남도 목포시 원산중앙로 89, 1층 (연산동)",58632,편의점,143231.3769,146099.6518
영업/정상,영업,전라남도 목포시 상동 1129-6 롯데시네마목포8 ,"전라남도 목포시 원형동로 53, 5층 507호 (상동)",58747,커피숍,148058.3144,144672.7938
영업/정상,영업,전라남도 목포시 옥암동 1095-8번지 ,"전라남도 목포시 평화로 136, 1층 (옥암동)",58746,편의점,148453.8939,144747.9631
영업/정상,영업,전라남도 목포시 남교동 31-6번지 ,"전라남도 목포시 수문로 63, 1층 (남교동)",58726,커피숍,143156.4357,144111.308
영업/정상,영업,전라남도 목포시 옥암동 1345-5번지 ,"전라남도 목포시 남악2로9번길 14-9, 1층 (옥암동)",58680,커피숍,149736.5432,145545.9863
영업/정상,영업,전라남도 목포시 산정동 994-32번지 ,"전라남도 목포시 양을로57번길 21, 1층 (산정동)",58640,커피숍,143241.7072,145122.4664
영업/정상,영업,전라남도 목포시 상락동2가 11-2 1층 ,"전라남도 목포시 영산로75번길 4-2, 1층 (상락동2가)",58728,커피숍,143631.7424,143629.2399
영업/정상,영업,전라남도 목포시 상동 994-10번지 1층 ,"전라남도 목포시 장미로 36-1, 1층 (상동)",58691,커피숍,147341.7721,144976.2817
영업/정상,영업,전라남도 목포시 상동 993-1번지 3층 ,"전라남도 목포시 비파로51번길 15, 3층 (상동)",58691,키즈카페,147325.4131,145011.5658
영업/정상,영업,전라남도 목포시 죽동 21-7 ,전라남도 목포시 영산로75번길 19-1 (죽동),58728,커피숍,143543.5771,143765.6571
영업/정상,영업,전라남도 목포시 상동 1030번지 ,전라남도 목포시 옥암로 23 (상동),58688,다방,147786.0865,144941.9613
영업/정상,영업,전라남도 목포시 산정동 326-1번지 ,전라남도 목포시 산정로 275 (산정동),58634,일반조리판매,143750.14,146037.0082
영업/정상,영업,전라남도 목포시 항동 6-18번지 ,"전라남도 목포시 해안로 193, 1층 (항동)",58754,다방,143610.5693,142885.6999
영업/정상,영업,전라남도 목포시 죽교동 440-4번지 ,,,관광호텔,142147.5218,143166.9971
영업/정상,영업,전라남도 목포시 상동 743-4번지 ,전라남도 목포시 상리로1번길 25-1 (상동),58642,패스트푸드,146321.9309,146242.6362
영업/정상,영업,전라남도 목포시 상동 457-6번지 지하1층 ,"전라남도 목포시 상동로 13 (상동,지하1층)",58643,기타 휴게음식점,146512.7745,146046.8022
영업/정상,영업,전라남도 목포시 상동 851번지 3층 ,"전라남도 목포시 비파로 123 (상동,3층)",58661,일반조리판매,147084.2705,145706.7587
영업/정상,영업,전라남도 목포시 용당동 993-27번지 ,전라남도 목포시 영산로346번길 7 (용당동),58701,다방,145340.7814,145348.5007
