순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
427,여수시,진남종합시장,전남 여수시 학동1길 10-0,쇼핑,시장,3364
428,장흥군,정남진장흥물축제,전남 장흥군,문화관광,기타문화관광지,3356
429,여수시,아이뮤지엄,전남 여수시 박람회길 1-0,문화관광,전시시설,3354
430,구례군,운조루,전남 구례군 운조루길 59-0,역사관광,역사유적지,3352
431,나주시,한수제벚꽃길,전남 나주시,기타관광,기타관광,3349
432,고흥군,과역시외버스터미널,전남 고흥군 무궁화길 5-0,기타관광,교통시설,3348
433,여수시,낭도해변,전남 여수시,자연관광,자연경관(하천/해양),3317
434,구례군,연곡사,전남 구례군 피아골로 774-0,역사관광,종교성지,3293
435,강진군,고려청자박물관,전남 강진군 청자촌길 33-0,문화관광,전시시설,3287
436,광양시,백운쇼핑센터,전남 광양시 폭포사랑길 99-0,쇼핑,쇼핑몰,3270
437,나주시,금성산생태숲,전남 나주시 금안2길 207-161,자연관광,자연공원,3266
438,목포시,메가박스목포하당,전남 목포시 옥암로 95-0,문화관광,공연시설,3264
439,신안군,소금박물관,전남 신안군 지도증도로 1058-0,문화관광,전시시설,3250
440,신안군,압해도,전남 신안군,자연관광,자연경관(하천/해양),3243
440,보성군,조성역,전남 보성군,기타관광,교통시설,3243
440,나주시,나주영상테마파크,전남 나주시 덕음로 450-0,기타관광,기타관광,3243
443,영광군,모래미해수욕장,전남 영광군,자연관광,자연경관(하천/해양),3241
444,신안군,오도선착장,전남 신안군 박달로 0-0,기타관광,교통시설,3234
445,신안군,자은도,전남 신안군,자연관광,자연경관(하천/해양),3229
446,무안군,몽탄역,전남 무안군 몽탄로 869-0,기타관광,교통시설,3225
447,무안군,송계어촌체험마을,전남 무안군 만송로 916-0,레저스포츠,기타레저스포츠,3211
448,여수시,자산공원,전남 여수시,문화관광,도시공원,3151
449,목포시,구청호시장,전남 목포시 자유로 13-2,쇼핑,시장,3129
450,광양시,옥곡시장,전남 광양시 큰골1길 2-26,쇼핑,시장,3123
451,여수시,작금항,전남 여수시 돌산로 0-0,자연관광,자연경관(하천/해양),3105
452,장흥군,천관산자연휴양림,전남 장흥군 칠관로 842-1150,자연관광,자연공원,3096
453,강진군,마량놀토수산시장,전남 강진군 미항로 152-0,쇼핑,시장,3095
454,강진군,영랑생가,전남 강진군 영랑생가길 15-0,역사관광,역사유적지,3090
455,장흥군,보림사,전남 장흥군 보림사로 224-0,역사관광,종교성지,3084
456,장흥군,어북제,전남 장흥군,자연관광,자연경관(하천/해양),3080
457,영광군,불갑저수지수변공원,전남 영광군,문화관광,도시공원,3046
458,구례군,구례시장,전남 구례군 5일시장길 9-0,쇼핑,시장,3036
459,나주시,남평골프,전남 나주시 우진길 73-0,레저스포츠,육상레저스포츠,3031
460,보성군,예당역,전남 보성군,기타관광,교통시설,3024
460,목포시,삼학도,전남 목포시,자연관광,자연경관(하천/해양),3024
462,고흥군,팔영대교관광안내소,전남 고흥군,기타관광,기타관광,3023
463,완도군,산양진항,전남 완도군 노화서로 563-49,자연관광,자연경관(하천/해양),3007
464,목포시,서해지방해양경찰청숙영관,전남 목포시 고하대로597번길 99-33,레저스포츠,육상레저스포츠,2995
465,신안군,태평염전,전남 신안군 지도증도로 1083-4,자연관광,자연경관(하천/해양),2991
466,영광군,계마항,전남 영광군 계마길 61-0,자연관광,자연경관(하천/해양),2980
466,신안군,가룡항,전남 신안군,기타관광,교통시설,2980
468,장흥군,소등섬,전남 장흥군,자연관광,자연경관(하천/해양),2941
469,곡성군,곡성버스터미널,전남 곡성군 군청로 6-0,기타관광,교통시설,2937
470,완도군,완도타워모노레일,전남 완도군 장보고대로 332-0,기타관광,기타관광,2914
471,무안군,도원선착장,전남 무안군 운해로 0-0,기타관광,교통시설,2913
472,여수시,여천항,전남 여수시 여천금이길 11-9,자연관광,자연경관(하천/해양),2906
473,곡성군,태안사,전남 곡성군 태안로 622-215,역사관광,종교성지,2903
474,해남군,명량해상케이블카진도대교광장하부승강장,전남 해남군 관광레저로 12-20,기타관광,기타관광,2892
475,여수시,여수국가산업단지전망대,전남 여수시,문화관광,랜드마크관광,2886
476,목포시,노을공원,전남 목포시,문화관광,도시공원,2880
477,완도군,장보고기념관,전남 완도군 청해진로 1455-0,문화관광,전시시설,2874
478,고흥군,우두항,전남 고흥군,자연관광,자연경관(하천/해양),2872
479,무안군,도리포,전남 무안군 만송로 0-0,자연관광,자연경관(하천/해양),2869
480,고흥군,능가사,전남 고흥군 팔봉길 21-0,역사관광,종교성지,2851
481,완도군,동고리해수욕장,전남 완도군,자연관광,자연경관(하천/해양),2831
482,무안군,신월선착장,전남 무안군 신월로 558-26,기타관광,교통시설,2829
483,순천시,순천도축장,전남 순천시 홍내교길 106-0,쇼핑,시장,2819
484,여수시,소경도대합실,전남 여수시 어항단지로 18-5,자연관광,자연경관(하천/해양),2809
485,여수시,테디베어뮤지엄여수,전남 여수시 안심산길 155-0,문화관광,전시시설,2787
485,영암군,월출산,전남 영암군,자연관광,자연경관(산),2787
487,담양군,담양댐인증센터,전남 담양군 금성산성길 293-0,레저스포츠,기타레저스포츠,2767
488,나주시,중흥골드스파리조트워터락,전남 나주시 나주호로 558-314,체험관광,웰니스관광,2760
489,고흥군,거금도,전남 고흥군,자연관광,자연경관(하천/해양),2749
490,해남군,해남우수영여객선임시터미널,전남 해남군 우수영안길 96-0,기타관광,교통시설,2745
491,고흥군,애도,전남 고흥군,자연관광,자연경관(하천/해양),2736
492,장성군,황룡전통시장,전남 장성군 삼월길 5-0,쇼핑,시장,2718
493,곡성군,섬진강레일바이크,전남 곡성군 섬진강로 1465-0,기타관광,기타관광,2715
494,보성군,득량역추억의거리,전남 보성군,문화관광,테마공원,2710
495,신안군,우전해수욕장,전남 신안군,자연관광,자연경관(하천/해양),2704
496,여수시,월전항,전남 여수시,자연관광,자연경관(하천/해양),2696
497,여수시,여수엑스포항,전남 여수시,자연관광,자연경관(하천/해양),2690
498,목포시,목포원예농협농산물공판장,전남 목포시 영산로 575-0,쇼핑,시장,2689
499,나주시,국립나주숲체원,전남 나주시 금성산길 116-0,자연관광,자연공원,2684
499,해남군,명량해상케이블카해남 스테이션,전남 해남군 관광레저로 12-20,기타관광,기타관광,2684
